-- Found ament_cmake: 2.5.6 (/opt/ros/jazzy/share/ament_cmake/cmake)
-- Found Python3: /usr/bin/python3 (found version "3.12.3") found components: Interpreter 
-- Found ament_lint_auto: 0.17.5 (/opt/ros/jazzy/share/ament_lint_auto/cmake)
-- Added test 'copyright' to check source files copyright and LICENSE
-- Added test 'lint_cmake' to check CMake code style
-- Added test 'xmllint' to check XML markup files
-- Configuring done (0.3s)
-- Generating done (0.0s)
-- Build files have been written to: /home/rsanz/git/learning/ROS2/RustROS2/build/rosidl_default_generators
-- Install configuration: ""
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/ament_index/resource_index/package_run_dependencies/rosidl_default_generators
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/ament_index/resource_index/parent_prefix_path/rosidl_default_generators
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/rosidl_default_generators/environment/ament_prefix_path.sh
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/rosidl_default_generators/environment/ament_prefix_path.dsv
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/rosidl_default_generators/environment/path.sh
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/rosidl_default_generators/environment/path.dsv
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/rosidl_default_generators/local_setup.bash
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/rosidl_default_generators/local_setup.sh
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/rosidl_default_generators/local_setup.zsh
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/rosidl_default_generators/local_setup.dsv
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/rosidl_default_generators/package.dsv
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/ament_index/resource_index/packages/rosidl_default_generators
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/rosidl_default_generators/cmake/ament_cmake_export_dependencies-extras.cmake
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/rosidl_default_generators/cmake/rosidl_default_generatorsConfig.cmake
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/rosidl_default_generators/cmake/rosidl_default_generatorsConfig-version.cmake
-- Installing: /home/rsanz/git/learning/ROS2/RustROS2/install/rosidl_default_generators/share/rosidl_default_generators/package.xml
